"Name","Id","CPU"
"AggregatorHost","7144",
"AnyDesk","11332","1.59375"
"ApplicationFrameHost","14228","0.328125"
"Code","816","21.15625"
"Code","908","200.9375"
"Code","3168","12.6875"
"Code","8556","0.09375"
"Code","9936","5.40625"
"Code","12168","208.921875"
"Code","12628","891.6875"
"Code","14964","266.0625"
"Code","16236","10.15625"
"Code","16852","0.375"
"Code","17088","218.09375"
"conhost","1520","0.484375"
"conhost","2180","0.015625"
"conhost","9376","0"
"crashpad_handler","6836",
"csrss","716",
"csrss","14688",
"ctfmon","5952","71.140625"
"dasHost","3956",
"dllhost","13404","0.3125"
"dwm","13936",
"explorer","9072","124.53125"
"fontdrvhost","632",
"fontdrvhost","1968",
"HDSentinel","4848","62.078125"
"HuionServer","12732","50.84375"
"HuionTablet","2536","66.265625"
"HuionTabletCore","828","121.328125"
"Idle","0",
"igfxCUIService","3060",
"igfxEM","2528","1.203125"
"IntelCpHDCPSvc","1656",
"jhi_service","5008",
"LocationNotificationWindows","13852","0.3125"
"LockApp","3808","3.203125"
"LsaIso","960",
"lsass","976",
"M365Copilot","4800","5.15625"
"Memory Compression","3020",
"MoUsoCoreWorker","6944",
"MpDefenderCoreService","5088",
"msedge","676","80.59375"
"msedge","3084","184.546875"
"msedge","6036","27.328125"
"msedge","6616","0.28125"
"msedge","6660","0.921875"
"msedge","7392","12.515625"
"msedge","7620","185.71875"
"msedge","7912","37.375"
"msedge","9820","0.0625"
"msedge","9880","1.390625"
"msedge","10320","663.9375"
"msedge","12872","0.71875"
"msedge","13800","13.53125"
"msedge","15892","133.3125"
"msedge","16572","0.9375"
"msedge","16756","0.875"
"msedgewebview2","1444","0.03125"
"msedgewebview2","1812","0.5625"
"msedgewebview2","2720","241.765625"
"msedgewebview2","3108","0.046875"
"msedgewebview2","4048","32.84375"
"msedgewebview2","6780","1.6875"
"msedgewebview2","7552","0.03125"
"msedgewebview2","7776","0.234375"
"msedgewebview2","8388","4.34375"
"msedgewebview2","9132","1.828125"
"msedgewebview2","9228","4.875"
"msedgewebview2","10232","3.859375"
"msedgewebview2","10472","15.34375"
"msedgewebview2","10852","1.375"
"msedgewebview2","12004","6.484375"
"msedgewebview2","12280","27.90625"
"msedgewebview2","12672","7.328125"
"msedgewebview2","12740","0.34375"
"msedgewebview2","13040","1.0625"
"msedgewebview2","14092","4.046875"
"msedgewebview2","14836","1.453125"
"msedgewebview2","15596","0.03125"
"msedgewebview2","16104","4.3125"
"msedgewebview2","16168","26.71875"
"msedgewebview2","16544","3.15625"
"MsMpEng","5308",
"msteams","15792","2.296875"
"ms-teams","8104","12.984375"
"ms-teams","13584","8.390625"
"NisSrv","1336",
"OfficeClickToRun","4856",
"OneApp.IGCC.WinService","4976",
"OneDrive","9252","6.78125"
"OneDrive.Sync.Service","824","5.84375"
"pet","6468","0.515625"
"PhoneExperienceHost","9028","4.140625"
"powershell","6908","125.578125"
"powershell","10112","8.15625"
"PresentationFontCache","6076",
"Registry","116",
"RuntimeBroker","1920","0.09375"
"RuntimeBroker","2012","0.671875"
"RuntimeBroker","3412","3.59375"
"RuntimeBroker","5072","0.03125"
"RuntimeBroker","8156","1.796875"
"RuntimeBroker","9788","0.1875"
"RuntimeBroker","11816","1.75"
"RuntimeBroker","15912","0.765625"
"SearchHost","16152","7.015625"
"SearchIndexer","9956",
"Secure System","76",
"SecurityHealthService","2632",
"SecurityHealthSystray","11988","0.0625"
"services","876",
"ShellExperienceHost","15568","2.40625"
"sihost","972","15.09375"
"smss","540",
"spoolsv","4356",
"StartMenuExperienceHost","11536","5.328125"
"svchost","696",
"svchost","1092",
"svchost","1140","0.109375"
"svchost","1144",
"svchost","1188",
"svchost","1232",
"svchost","1240",
"svchost","1248",
"svchost","1360",
"svchost","1368",
"svchost","1384",
"svchost","1396",
"svchost","1412",
"svchost","1524",
"svchost","1560",
"svchost","1576",
"svchost","1704",
"svchost","1768",
"svchost","1800",
"svchost","1864",
"svchost","2128",
"svchost","2136",
"svchost","2268",
"svchost","2400",
"svchost","2408",
"svchost","2572",
"svchost","2600",
"svchost","2676",
"svchost","2692",
"svchost","2712",
"svchost","2852",
"svchost","2932",
"svchost","2968",
"svchost","3004",
"svchost","3100",
"svchost","3120",
"svchost","3224",
"svchost","3240",
"svchost","3276",
"svchost","3468",
"svchost","3604",
"svchost","3616",
"svchost","3644",
"svchost","3776",
"svchost","3916",
"svchost","4000",
"svchost","4020",
"svchost","4072",
"svchost","4144","0.8125"
"svchost","4248",
"svchost","4272",
"svchost","4328",
"svchost","4344",
"svchost","4460",
"svchost","4660",
"svchost","4668",
"svchost","4696",
"svchost","4788",
"svchost","4816",
"svchost","4832",
"svchost","4984","1.28125"
"svchost","5056",
"svchost","5124",
"svchost","5188",
"svchost","5268",
"svchost","5296",
"svchost","5336",
"svchost","6300",
"svchost","6624",
"svchost","7284",
"svchost","7312",
"svchost","7500",
"svchost","7808",
"svchost","7860",
"svchost","8128",
"svchost","8400","1.15625"
"svchost","8672",
"svchost","10380",
"svchost","10492",
"svchost","10580",
"svchost","11180",
"svchost","11524","0.109375"
"svchost","13296","1.75"
"svchost","13756",
"svchost","14468",
"svchost","14540",
"svchost","14612",
"svchost","15324","0.515625"
"svchost","15660","0.09375"
"svchost","15900","7.078125"
"svchost","17068","0.078125"
"svchost","17320",
"System","4",
"SystemSettings","10272","3.03125"
"SystemSettingsBroker","2552","1.046875"
"taskhostw","11648","1.625"
"TeamViewer_Service","5256",
"TextInputHost","6224","58.96875"
"UserOOBEBroker","1820","0.0625"
"vmnat","5240",
"vmnetdhcp","5232",
"vmware-authd","5208",
"vmware-tray","12148","0.109375"
"vmware-usbarbitrator64","5324",
"Widgets","16816","7.8125"
"WidgetService","7920","1.0625"
"wininit","800",
"winlogon","8976",
"WmiPrvSE","5532",
"WMIRegistrationService","5364",
"wslservice","5396",
