"Name","Id","CPU"
"AggregatorHost","7144",
"AnyDesk","11332","1.59375"
"ApplicationFrameHost","14228","0.328125"
"Code","816","21.15625"
"Code","908","200.9375"
"Code","3168","12.6875"
"Code","8556","0.09375"
"Code","9936","5.40625"
"Code","12168","208.9375"
"Code","12628","891.71875"
"vmware-authd","5208",
"vmware-tray","12148","0.109375"
"vmware-usbarbitrator64","5324",
"Widgets","16816","7.8125"
"WidgetService","7920","1.0625"
"wininit","800",
"winlogon","8976",
"WmiPrvSE","5532",
"WMIRegistrationService","5364",
"wslservice","5396",
