"Name","Status"
"AarSvc_4f98afd","Stopped"
"AJRouter","Stopped"
"ALG","Stopped"
"AnyDesk","Running"
"AppHostSvc","Running"
"AppIDSvc","Running"
"Appinfo","Running"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Stopped"
"aspnet_state","Stopped"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BcastDVRUserService_4f98afd","Stopped"
"BDESVC","Running"
"BFE","Running"
